acquired,parcel,handle,owner,address
city,23180000600,12318000060,NORTHSIDE REGENERATION LLC,2326-2332 Howard St.
city,23180000900,12318000090,NORTHSIDE REGENERATION LLC,2322 Howard St.
city,23180001000,12318000100,NORTHSIDE REGENERATION LLC,2320 Howard St.
city,23180001110,12318000111,NORTHSIDE REGENERATION LLC,2318 Howard St.
city,23180001600,12318000160,NORTHSIDE REGENERATION LLC,2300-2302 Howard St.
city,23180001800,12318000180,NORTHSIDE REGENERATION LLC,2305-2317 Mullanphy St.
city,23240000100,12324000010,NORTHSIDE REGENERATION LLC,2244-2248 Madison St.
city,23240000200,12324000020,NORTHSIDE REGENERATION LLC,2242 Madison St.
city,23240000350,12324000035,NORTHSIDE REGENERATION LLC,2236-2238 Madison St.
city,23240000500,12324000050,NORTHSIDE REGENERATION LLC,2232 Madison St.
city,23240000600,12324000060,NORTHSIDE REGENERATION LLC,2226-2230 Madison St.
city,23240000700,12324000070,NORTHSIDE REGENERATION LLC,2222-2224 Madison St.
city,23240000800,12324000080,NORTHSIDE REGENERATION LLC,2220 Madison St.
city,23240001000,12324000100,NORTHSIDE REGENERATION LLC,2214 Madison St.
city,23240001100,12324000110,NORTHSIDE REGENERATION LLC,2210 Madison St.
city,23240001200,12324000120,NORTHSIDE REGENERATION LLC,2208 Madison St.
city,23240001300,12324000130,NORTHSIDE REGENERATION LLC,2206 Madison St.
city,23240001800,12324000180,NORTHSIDE REGENERATION LLC,2207 Howard St.
city,23240002300,12324000230,NORTHSIDE REGENERATION LLC,2219 Howard St.
city,23240002400,12324000240,NORTHSIDE REGENERATION LLC,2221-2229 Howard St.
city,23240002500,12324000250,NORTHSIDE REGENERATION LLC,2231-2233 Howard St.
city,23240002700,12324000270,NORTHSIDE REGENERATION LLC,2235-2237 Howard St.
city,23240002800,12324000280,NORTHSIDE REGENERATION LLC,2239 Howard St.
city,23240002900,12324000290,NORTHSIDE REGENERATION LLC,2243 Howard St.
city,23250000100,12325000010,NORTHSIDE REGENERATION LLC,2348 Madison St.
city,23250000200,12325000020,NORTHSIDE REGENERATION LLC,2342-2346 Madison St.
city,23250000300,12325000030,NORTHSIDE REGENERATION LLC,2334-2340 Madison St.
city,23250000500,12325000050,NORTHSIDE REGENERATION LLC,2330-2332 Madison St.
city,23250000800,12325000080,NORTHSIDE REGENERATION LLC,2324 Madison St.
city,23250000900,12325000090,NORTHSIDE REGENERATION LLC,2322 Madison St.
city,23250001000,12325000100,NORTHSIDE REGENERATION LLC,2320 Madison St.
city,23250001400,12325000140,NORTHSIDE REGENERATION LLC,2304 Madison St.
city,23250001500,12325000150,NORTHSIDE REGENERATION LLC,2300-2302 Madison St.
city,23250002200,12325000220,NORTHSIDE REGENERATION LLC,2319 Howard St.
city,23250002300,12325000230,NORTHSIDE REGENERATION LLC,2321-2323 Howard St.
city,23250002500,12325000250,NORTHSIDE REGENERATION LLC,2329 Howard St.
city,23250002600,12325000260,NORTHSIDE REGENERATION LLC,2331 Howard St.
city,23250002800,12325000280,NORTHSIDE REGENERATION LLC,2335 Howard St.
city,23250002850,12325000285,NORTHSIDE REGENERATION LLC,2337 Howard St.
city,23250002900,12325000290,NORTHSIDE REGENERATION LLC,2339 Howard St.
city,23250003100,12325000310,NORTHSIDE REGENERATION LLC,1702 25Th St.
city,23460000100,12346000010,NORTHSIDE REGENERATION LLC,2344-2348 North Market St.
city,23460000300,12346000030,NORTHSIDE REGENERATION LLC,2338 North Market St.
city,23460000600,12346000060,NORTHSIDE REGENERATION LLC,2332-2334 North Market St.
city,23460000700,12346000070,NORTHSIDE REGENERATION LLC,2330 North Market St.
city,23460000800,12346000080,NORTHSIDE REGENERATION LLC,2328 North Market St.
city,23460000900,12346000090,NORTHSIDE REGENERATION LLC,2326 North Market St.
city,23460001000,12346000100,NORTHSIDE REGENERATION LLC,2324 North Market St.
city,23460001100,12346000110,NORTHSIDE REGENERATION LLC,2320-2322 North Market St.
city,23460001200,12346000120,NORTHSIDE REGENERAATION LLC,2318 North Market St.
city,23280000200,12328000020,NORTHSIDE REGENERATION LLC,2339-2345 Madison St.
city,23280000900,12328000090,NORTHSIDE REGENERATION LLC,2301-2323 Madison St.
city,23290000300,12329000030,NORTHSIDE REGENERATION LLC,2237 Madison St.
city,23290000400,12329000040,NORTHSIDE REGENERATION LLC,2233 Madison St.
city,23290000600,12329000060,NORTHSIDE REGENERATION LLC,2227 Madison St.
