school_id,SCHOOL_NAME,school_type,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
1151153260,LONG MIDDLE SCH.,slps,46.53846153846153846153846154,54.34083601286173633440514469,63.42710997442455242966751918,60.94674556213017751479289941,68.98734177215189873417721519,67.84968684759916492693110647,,64.58333333333333333333333333,,52.38095238095238095238095238,51.63147792706333973128598848,41.26126126126126126126126126,48.81720430107526881720430108,39.49416342412451361867704280,48.67424242424242424242424242,48.12206572769953051643192488,45.26315789473684210526315789,,,,58.17610062893081761006289308,59.27272727272727272727272727,63.56589147286821705426356589,60.40816326530612244897959184,70.71129707112970711297071130,75.23809523809523809523809524,74.61139896373056994818652850
1151155160,LOWELL ELEM.,slps,99.52153110047846889952153110,100,95.72953736654804270462633452,97.75561097256857855361596010,96.73913043478260869565217391,97.65258215962441314553990610,98.10426540284360189573459716,97.83132530120481927710843373,96.74418604651162790697674419,97.43589743589743589743589744,98.14323607427055702917771883,98.88268156424581005586592179,97.500,,,,,,,,,,,,,,
1151155180,LYON ACADEMY - BASIC INSTR.,slps,40.22556390977443609022556391,54.63917525773195876288659794,55.60975609756097560975609756,52.65151515151515151515151515,54.04411764705882352941176471,55.88235294117647058823529412,55.39568345323741007194244604,55.07246376811594202898550725,53.57142857142857142857142857,54.47470817120622568093385214,56.32183908045977011494252874,62.34817813765182186234817814,58.71212121212121212121212121,58.92116182572614107883817427,58.84955752212389380530973451,62.17391304347826086956521739,64.13043478260869565217391304,63.81578947368421052631578947,,70.76023391812865497076023392,74.2187500,73.64532019704433497536945813,77.55681818181818181818181818,83.54755784061696658097686375,86.82170542635658914728682171,84.73684210526315789473684211,88.48484848484848484848484848
1151155220,MADISON A.L.C.E. ELEM.,slps,64.16382252559726962457337884,69.600,,,,,,,,,,,,,,,,,,,,,,,,,
1151155240,MALLINCKRODT A.B.I. ELEM.,slps,53.52941176470588235294117647,54.800,58.14814814814814814814814815,58.69565217391304347826086957,60.34482758620689655172413793,57.81818181818181818181818182,58.33333333333333333333333333,59.28571428571428571428571429,61.17647058823529411764705882,60.82089552238805970149253731,60.07462686567164179104477612,61.56862745098039215686274510,60.800,63.70967741935483870967741935,62.79069767441860465116279070,62.69230769230769230769230769,63.22314049586776859504132231,61.13537117903930131004366812,62.62135922330097087378640777,64.17112299465240641711229947,67.41573033707865168539325843,59.58549222797927461139896373,60.47430830039525691699604743,52.400,45.22821576763485477178423237,36.86274509803921568627450980,31.37254901960784313725490196
1151155260,MANN ELEM.,slps,45.84323040380047505938242280,53.12500,47.21407624633431085043988270,63.70370370370370370370370370,67.21311475409836065573770492,71.87500,78.77461706783369803063457330,79.60687960687960687960687961,,,,,,,,,,,,,88.40579710144927536231884058,86.81818181818181818181818182,89.63963963963963963963963964,89.78102189781021897810218978,89.03225806451612903225806452,85.53719008264462809917355372,84.25196850393700787401574803
1151155290,MARK TWAIN BRANCH ELEM.,slps,100,100,,,,,,,,,,,,,,,,,,,,,,,,,
1151155280,MARK TWAIN ELEM.,slps,100,100,100,100,100,100,100,100,100,100,99.66442953020134228187919463,99.63503649635036496350364964,100,100,99.63636363636363636363636364,99.600,100,100,99.53703703703703703703703704,,,,,,,,
1151153300,MARQUETTE V.P.A. MIDDLE SCH.,slps,56.50406504065040650406504065,60.21897810218978102189781022,60.50724637681159420289855072,,,,,,,,,,,,,,,,,,,,,,,,
1151155320,MARSHALL ELEM.,slps,100,100,100,100,100,100,100,100,100,92.33716475095785440613026820,94.50980392156862745098039216,96.96969696969696969696969697,98.90109890109890109890109890,,,,,,,,,,,,,,
1151155340,MASON ELEM.,slps,,,,,,,64.57564575645756457564575646,60.72727272727272727272727273,58.20512820512820512820512821,56.33802816901408450704225352,59.46666666666666666666666667,54.19161676646706586826347305,52.08333333333333333333333333,56.07235142118863049095607235,52.17391304347826086956521739,46.48829431438127090301003344,40.25157232704402515723270440,,42.49084249084249084249084249,,49.67320261437908496732026144,53.37423312883435582822085890,57.10594315245478036175710594,58.77862595419847328244274809,65.94202898550724637681159420,68.90547263681592039800995025,65.53672316384180790960451977
1151153320,MASON I.L.C. MIDDLE MAGNET,slps,54.76190476190476190476190476,60.98484848484848484848484848,57.57575757575757575757575758,59.40959409594095940959409594,60.68702290076335877862595420,57.09090909090909090909090909,,,,,,,,,,,,,,,,,,,,,
1151151570,MCKINLEY CLASS. LEADERSHIP AC.,slps,,,,,,,,,,,,,,,,,,,,,57.44186046511627906976744186,56.21890547263681592039800995,60.09732360097323600973236010,60.75949367088607594936708861,57.57009345794392523364485981,58.52272727272727272727272727,57.51748251748251748251748252
1151153540,MEL CARNAHAN MIDDLE,slps,,,,,,,,,,,,,,90.34205231388329979879275654,91.64969450101832993890020367,90.94650205761316872427983539,,,,,,,,,,,
1151155500,MERAMEC ELEM.,slps,30.29411764705882352941176471,35.21594684385382059800664452,34.34903047091412742382271468,44.56521739130434782608695652,53.63321799307958477508650519,61.56583629893238434163701068,64.93506493506493506493506494,77.47747747747747747747747748,83.71501272264631043256997455,86.13861386138613861386138614,84.70588235294117647058823529,87.79527559055118110236220472,89.43089430894308943089430894,92.59259259259259259259259259,94.24460431654676258992805755,94.64285714285714285714285714,93.54838709677419354838709677,94.23076923076923076923076923,97.25274725274725274725274725,92.41706161137440758293838863,96.90265486725663716814159292,89.42307692307692307692307692,92.03187250996015936254980080,87.39130434782608695652173913,93.53448275862068965517241379,94.92385786802030456852791878,93.7500
1151151560,METRO HIGH,slps,49.10714285714285714285714286,52.99539170506912442396313364,,50.68493150684931506849315068,50.45454545454545454545454545,53.84615384615384615384615385,50.19607843137254901960784314,50.38759689922480620155038760,49.40711462450592885375494071,50.75187969924812030075187970,48.437500,45.12195121951219512195121951,,,49.22480620155038759689922481,,,50.0,50.65789473684210526315789474,,57.04467353951890034364261168,57.40740740740740740740740741,60.12658227848101265822784810,62.08955223880597014925373134,58.20895522388059701492537313,59.28143712574850299401197605,60.88235294117647058823529412
1151155550,MITCHELL BRANCH ELEM.,slps,100,100,,,,,,,,,,,,,,,,,,,,,,,,,
1151155540,MITCHELL ELEM.,slps,100,100,99.66216216216216216216216216,100,100,100,100,99.66887417218543046357615894,100,99.21568627450980392156862745,99.19678714859437751004016064,99.14163090128755364806866953,99.10714285714285714285714286,100,99.24242424242424242424242424,100,100,98.35390946502057613168724280,,,,,,,,,
1151155560,MONROE ELEM.,slps,,,,,,,,,,,,91.37931034482758620689655172,93.26424870466321243523316062,90.88145896656534954407294833,91.55844155844155844155844156,94.57831325301204819277108434,93.78378378378378378378378378,92.02898550724637681159420290,84.53038674033149171270718232,89.49771689497716894977168950,88.13559322033898305084745763,91.32231404958677685950413223,89.71061093247588424437299035,92.58064516129032258064516129,91.31832797427652733118971061,94.17808219178082191780821918,94.67680608365019011406844106
1151155590,MULLANPHY BOTANICAL GARDENS,slps,,,,57.82122905027932960893854749,60.72186836518046709129511677,60.46511627906976744186046512,61.15384615384615384615384615,61.93181818181818181818181818,62.32464929859719438877755511,61.132812500,63.93805309734513274336283186,69.08665105386416861826697892,66.58227848101265822784810127,68.39622641509433962264150943,63.37662337662337662337662338,,67.20930232558139534883720930,69.69696969696969696969696970,72.57281553398058252427184466,77.88461538461538461538461538,83.79120879120879120879120879,87.60563380281690140845070423,89.95215311004784688995215311,91.31513647642679900744416873,88.65435356200527704485488127,88.85941644562334217506631300,90.35812672176308539944903581
1151153340,MULLANPHY MIDDLE SCH.,slps,73.80191693290734824281150160,73.12925170068027210884353741,,,,,,,,,,,,,,,,,,,,,,,,,
1151154970,NAHED CHAPMAN NEW AMERICAN ACA,slps,,,,,,,,,,,,,,,,,,,,,,,,,,86.22448979591836734693877551,59.41558441558441558441558442
1159136965,NORTH SIDE COMMUNITY SCHOOL,charter,,,,,,,,,,,,,,,,,,,,100,97.72727272727272727272727273,98.42931937172774869109947644,98.62385321100917431192660550,97.84172661870503597122302158,97.77777777777777777777777778,98.56321839080459770114942529,99.15254237288135593220338983
1151151590,NORTHWEST HIGH,slps,99.83164983164983164983164983,99.82332155477031802120141343,,,,,,,,,,,,,,,,,,,,,,,,,
1151153310,NORTHWEST MIDDLE SCHOOL,slps,,,,99.54233409610983981693363844,99.68652037617554858934169279,99.86206896551724137931034483,99.55489614243323442136498516,99.70457902511078286558345643,99.85673352435530085959885387,100,99.80988593155893536121673004,99.29775280898876404494382022,99.55882352941176470588235294,99.59677419354838709677419355,99.55257270693512304250559284,99.75845410628019323671497585,99.64412811387900355871886121,100,100,,,,,,,,
1151153360,NOTTINGHAM MIDDLE SCH.,slps,50.0,70.66666666666666666666666667,37.40740740740740740740740741,31.61290322580645161290322581,32.79742765273311897106109325,33.74485596707818930041152263,46.19047619047619047619047619,50.0,43.03797468354430379746835443,66.35071090047393364928909953,68.14814814814814814814814815,61.44578313253012048192771084,53.57142857142857142857142857,,,,,,,,,,,,,,
1151151120,O'FALLON TECHNICAL SCH.,slps,76.48456057007125890736342043,83.33333333333333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,
1151155600,OAK HILL ELEM.,slps,46.87500,46.28712871287128712871287129,50.86505190311418685121107266,61.58357771260997067448680352,64.92307692307692307692307692,66.25386996904024767801857585,59.24855491329479768786127168,59.55882352941176470588235294,64.33260393873085339168490153,61.94503171247357293868921776,53.72093023255813953488372093,,,,28.99628252788104089219330855,40.82191780821917808219178082,,,,,69.29347826086956521739130435,71.02272727272727272727272727,76.79558011049723756906077348,78.08641975308641975308641975,80.25477707006369426751592357,72.38805970149253731343283582,70.94017094017094017094017094
1159066930,OLD NORTH,charter,,,,,,,,,,,,,,,,,,99.17061611374407582938388626,97.63860369609856262833675565,97.97008547008547008547008547,99.77876106194690265486725664,99.65556831228473019517795637,99.39975990396158463385354142,99.26199261992619926199261993,99.50556242274412855377008653,99.50310559006211180124223602,99.67479674796747967479674797
1151155620,PEABODY ELEM.,slps,100,100,100,100,100,99.27360774818401937046004843,100,100,94.45983379501385041551246537,96.30606860158311345646437995,97.41379310344827586206896552,100,100,99.13419913419913419913419913,100,99.69788519637462235649546828,99.40476190476190476190476190,98.93238434163701067615658363,98.46153846153846153846153846,98.52941176470588235294117647,99.36305732484076433121019108,100,100,99.67426710097719869706840391,99.55752212389380530973451327,99.47643979057591623036649215,100
1159193930,PRECLARUS MASTERY ACADEMY,charter,,,,,,,,,,,,,,,,,,,,,,96.11650485436893203883495146,96.45390070921985815602836879,99.51219512195121951219512195,100,99.34640522875816993464052288,100
1151153370,PRUITT MILITARY ACADEMY,slps,57.90816326530612244897959184,56.500,59.81087470449172576832151300,55.37525354969574036511156187,59.95575221238938053097345133,59.15178571428571428571428571,57.46268656716417910447761194,63.78378378378378378378378378,61.78861788617886178861788618,67.54098360655737704918032787,70.03610108303249097472924188,70.50847457627118644067796610,68.98734177215189873417721519,72.31833910034602076124567474,70.32967032967032967032967033,75.13227513227513227513227513,,,,,,,,,,,
1151155720,ROE ELEM.,slps,,,,,,,,,,,60.19108280254777070063694268,41.46341463414634146341463415,52.86624203821656050955414013,,,,,,,,,,,,,,
1151151640,ROOSEVELT 9TH GRADE CTR.,slps,,,,,,,,,,,,,,,,,84.91484184914841849148418491,87.29016786570743405275779376,84.74025974025974025974025974,,,,,,,,
1151151680,ROOSEVELT HIGH,slps,,,,,,,75.92339261285909712722298222,75.41899441340782122905027933,74.03790924755887421022400919,75.12328767123287671232876712,74.58654906284454244762954796,72.34359483614697120158887786,74.31434599156118143459915612,76.62170841361592806679511882,82.90766208251473477406679764,89.83268983268983268983268983,88.04448563484708063021316033,89.40936863543788187372708758,85.99810785241248817407757805,84.07224958949096880131362890,89.53140578265204386839481555,87.03071672354948805460750853,86.20309050772626931567328918,87.500,87.0400,86.67953667953667953667953668,89.39393939393939393939393939
1151155740,SCRUGGS ELEM.,slps,41.56118143459915611814345992,43.25481798715203426124197002,40.92664092664092664092664093,50.56390977443609022556390977,50.52410901467505241090146751,55.34188034188034188034188034,62.41299303944315545243619490,66.06741573033707865168539326,72.17898832684824902723735409,76.367187500,76.16926503340757238307349666,81.81818181818181818181818182,85.55555555555555555555555556,82.48407643312101910828025478,84.24242424242424242424242424,86.33879781420765027322404372,,,,,,,,,,,
1151155760,SCULLIN ELEM.,slps,100,100,99.66216216216216216216216216,100,100,100,100,100,100,100,100,99.64539007092198581560283688,100,,,,,,,,,,,,,,
1151155780,SHAW VISUAL & PERF. ARTS CTR.,slps,53.50140056022408963585434174,58.08219178082191780821917808,57.76397515527950310559006211,58.28402366863905325443786982,60.47120418848167539267015707,57.68194070080862533692722372,59.09090909090909090909090909,58.87096774193548387096774194,60.0,59.17312661498708010335917313,61.75637393767705382436260623,63.24786324786324786324786325,62.72189349112426035502958580,64.72303206997084548104956268,62.08955223880597014925373134,65.78947368421052631578947368,70.87378640776699029126213592,67.62820512820512820512820513,70.15384615384615384615384615,73.37461300309597523219814241,76.10062893081761006289308176,80.22922636103151862464183381,84.41558441558441558441558442,85.48387096774193548387096774,86.45833333333333333333333333,89.92042440318302387267904509,90.31413612565445026178010471
1159171930,SHEARWATER HIGH SCHOOL,charter,,,,,,,,,,,,,,,,,,,,,97.10144927536231884057971014,98.437500,96.96969696969696969696969697,,,,
1151155800,SHENANDOAH ELEM.,slps,65.28925619834710743801652893,70.14925373134328358208955224,67.58241758241758241758241758,,,,,88.11475409836065573770491803,88.76811594202898550724637681,86.48648648648648648648648649,89.87854251012145748987854251,93.30708661417322834645669291,93.14285714285714285714285714,95.13274336283185840707964602,94.75982532751091703056768559,92.17877094972067039106145251,95.27027027027027027027027027,,91.30434782608695652173913043,96.72131147540983606557377049,99.22480620155038759689922481,95.03546099290780141843971631,92.40506329113924050632911392,92.94117647058823529411764706,92.89617486338797814207650273,92.21556886227544910179640719,91.27906976744186046511627907
1151155820,SHEPARD ELEM.,slps,52.85714285714285714285714286,41.72661870503597122302158273,59.61123110151187904967602592,63.24200913242009132420091324,71.61572052401746724890829694,72.38493723849372384937238494,78.27648114901256732495511670,82.65524625267665952890792291,84.63203463203463203463203463,87.88461538461538461538461538,90.22869022869022869022869023,99.45504087193460490463215259,92.94871794871794871794871795,93.71257485029940119760479042,91.13924050632911392405063291,94.49838187702265372168284790,91.97080291970802919708029197,92.13973799126637554585152838,87.76978417266187050359712230,,,,,,,,
1151155840,SHERMAN ELEM.,slps,90.25974025974025974025974026,89.85507246376811594202898551,93.89830508474576271186440678,93.71727748691099476439790576,94.55252918287937743190661479,96.85714285714285714285714286,97.15189873417721518987341772,96.89655172413793103448275862,98.05194805194805194805194805,100,98.61111111111111111111111111,98.65771812080536912751677852,98.66666666666666666666666667,98.16513761467889908256880734,99.43820224719101123595505618,98.67841409691629955947136564,96.60194174757281553398058252,95.97701149425287356321839080,95.32163742690058479532163743,94.40559440559440559440559441,96.800,97.58064516129032258064516129,94.26751592356687898089171975,,,,
1151155860,SIGEL ELEM.,slps,75.86206896551724137931034483,79.24187725631768953068592058,78.41726618705035971223021583,82.54437869822485207100591716,82.87153652392947103274559194,84.84107579462102689486552567,82.19461697722567287784679089,83.49705304518664047151277014,82.49452954048140043763676149,83.40425531914893617021276596,80.90185676392572944297082228,85.00,87.13235294117647058823529412,,85.93155893536121673003802281,91.18773946360153256704980843,86.23853211009174311926605505,87.500,,86.72199170124481327800829876,88.2812500,91.22137404580152671755725191,94.800,94.22382671480144404332129964,96.91119691119691119691119691,95.33898305084745762711864407,93.72384937238493723849372385
1151155880,SIMMONS ELEM.,slps,,,,,,100,98.63013698630136986301369863,97.500,99.07407407407407407407407407,96.05263157894736842105263158,96.49122807017543859649122807,98.28767123287671232876712329,99.61089494163424124513618677,99.74226804123711340206185567,99.37694704049844236760124611,99.04458598726114649681528662,99.33554817275747508305647841,98.64864864864864864864864865,98.97260273972602739726027397,,,,,,,,
1151153380,SIMMONS MIDDLE SCH.,slps,100,99.72972972972972972972972973,100,100,100,,,,,,,,,,,,,,,,,,,,,,
1151151730,SOLDAN INTERNATIONAL STUDIES,slps,,,,,,,,,,,,,,,,,74.11095305832147937411095306,74.00295420974889217134416544,,83.57810413885180240320427236,88.46153846153846153846153846,91.02564102564102564102564103,94.39421338155515370705244123,96.42218246869409660107334526,96.20938628158844765342960289,96.79595278246205733558178752,97.03832752613240418118466899
1159066932,SOUTH CITY,charter,,,,,,,,,,,,,,,,,,96.22950819672131147540983607,94.64751958224543080939947781,94.59161147902869757174392936,94.36170212765957446808510638,95.62433297758804695837780149,95.88888888888888888888888889,97.09794437726723095525997582,97.500,97.61620977353992848629320620,97.66584766584766584766584767
1159203925,SOUTH CITY PREPARATORY ACADEMY,charter,,,,,,,,,,,,,,,,,,,,,,71.60493827160493827160493827,83.33333333333333333333333333,87.43455497382198952879581152,85.63829787234042553191489362,92.187500,95.58011049723756906077348066
1151151770,SOUTHWEST HIGH,slps,75.67873303167420814479638009,70.82706766917293233082706767,,,,,,,,,,,,,,,,,,,,,,,,,
1159201910,ST LOUIS COLLEGE PREP HIGH,charter,,,,,,,,,,,,,,,,,,,,,,,,,,88.15789473684210526315789474,92.81045751633986928104575163
1151156925,ST. LOUIS CHARTER ACADEMIES,charter,,,,,,,,,,,,,80.92868988391376451077943615,81.19935170178282009724473258,76.65289256198347107438016529,81.31634819532908704883227176,70.35087719298245614035087719,,,,,,,,,,
1151156915,ST. LOUIS CHARTER SCH.,charter,,,,,,,,,,,73.38403041825095057034220532,68.31812255541069100391134289,64.86784140969162995594713656,60.58230683090705487122060470,59.34182590233545647558386412,56.74217907227615965480043150,57.71305285868392664509169364,,,,,,,,,,
1159036915,ST. LOUIS CHARTER SCH.,charter,,,,,,,,,,,,,,,,,,57.14285714285714285714285714,54.50549450549450549450549451,53.77875136911281489594742607,56.54952076677316293929712460,55.69487983281086729362591432,57.97101449275362318840579710,55.76496674057649667405764967,54.55555555555555555555555556,55.78378378378378378378378378,55.53097345132743362831858407
1151156340,ST. LOUIS CHILDREN'S HOSPITAL,slps,95.23809523809523809523809524,68.18181818181818181818181818,,,,69.56521739130434782608695652,,,63.15789473684210526315789474,,,68.7500,68.42105263157894736842105263,64.70588235294117647058823529,,,,,,,,,,,95.65217391304347826086956522,,
1151151510,ST. LOUIS MED/BIO SCIENCE HIGH,slps,,,,,,,,,,,,,,,,,,,,,,,,68.85245901639344262295081967,75.45454545454545454545454545,71.83908045977011494252873563,69.19642857142857142857142857
1151153400,STEVENS MIDDLE SCH.,slps,100,100,100,100,100,100,100,100,99.64664310954063604240282686,100,100,100,100,100,100,98.85057471264367816091954023,98.71382636655948553054662379,99.61089494163424124513618677,98.90109890109890109890109890,99.59677419354838709677419355,99.42528735632183908045977011,,,,,,
